,weight
LV,0.7937099925553915
RO,0.20629000744443943
EE,2.250707013874915e-13
LT,2.1435319385031394e-13
HU,2.1320999788535927e-13
BE,1.0208029245715387e-13
BG,9.240523997975606e-14
PL,8.895813569489529e-14
CZ,7.25824791154721e-14
AT,4.7457138857162204e-14
DE,6.4893438688287995e-15
GR,0.0
HR,0.0
FR,0.0
IE,0.0
IT,0.0
FI,0.0
ES,0.0
MT,0.0
NL,0.0
PT,0.0
CY,0.0
SI,0.0
SK,0.0
